
Event { id: 1, message: Warning: 440603, date: Oct 24, 2021 7:58:37 PM }
Event { id: 2, message: Warning: 47465, date: Oct 24, 2021 7:58:37 PM }
Event { id: 3, message: Warning: 469011, date: Oct 24, 2021 7:58:37 PM }
Event { id: 7, message: Fatal: 923372, date: Oct 24, 2021 7:58:37 PM }
Event { id: 8, message: Fatal: 341908, date: Oct 24, 2021 7:58:37 PM }
Event { id: 0, message: Error: 776062, date: Oct 24, 2021 8:00:40 PM }
Event { id: 1, message: Fatal: 933731, date: Oct 24, 2021 8:00:40 PM }
Event { id: 2, message: Error: 424872, date: Oct 24, 2021 8:00:40 PM }
Event { id: 6, message: Error: 408706, date: Oct 24, 2021 8:00:40 PM }
Event { id: 7, message: Error: 489725, date: Oct 24, 2021 8:00:40 PM }
Event { id: 0, message: Warning: 970365, date: Oct 24, 2021 8:00:54 PM }
Event { id: 1, message: Warning: 406955, date: Oct 24, 2021 8:00:54 PM }
Event { id: 2, message: Warning: 618191, date: Oct 24, 2021 8:00:54 PM }
Event { id: 3, message: Error: 660152, date: Oct 24, 2021 8:00:54 PM }
Event { id: 4, message: Error: 727887, date: Oct 24, 2021 8:00:54 PM }
Event { id: 6, message: Error: 162597, date: Oct 24, 2021 8:00:54 PM }
Event { id: 7, message: Fatal: 666376, date: Oct 24, 2021 8:00:54 PM }
Event { id: 8, message: Warning: 483898, date: Oct 24, 2021 8:00:54 PM }
Event { id: 9, message: Fatal: 184385, date: Oct 24, 2021 8:00:54 PM }
